id, author, utterance, arg_label, arg_label, arg_label
17:00, 18:00
0, kai.weisenberger, "Der Einsatz von KI würde die Bildinterpretation deutlich beschleunigen, die Ergebnisse könnten innerhalb von Sekunden vorliegen.", pro_12
1, justin.voelkel, "Allerdings müssten die Mitarbeiter in der Verwendung von KI geschult werden. Dies würde sehr viel Zeit beanspruchen und für weitere Verunsicherungen sorgen.", pro_12.1
2, kai.weisenberger, "Eine solche Schulung wäre eine weitgehend einmalige Investition, die sich mit Blick auf die sonstig eingesparten Kosten durch die Verwendung von KI rentieren.", pro_11
3, justin.voelkel, "Die KI kann dann jedoch keine für die Ärzte verständliche Erklärung der Ergebnisse liefern. Es wird schwierig, die Ergebnisse nachzuvollziehen.", con_2
4, kai.weisenberger, "Wenn sich in groß angelegten Test zeigt, dass die KI präzisere Ergebnisse liefert als ein echter Arzt, kann auf eine Erklärung verzichtet werden. Im Übrigen könnte die KI Zwischenschritte angeben und so verständlicher sein.", con_2.4, con_2.3, con_2.1
5, justin.voelkel, "Spätestens bei zweifelhaften Diagnosen wird eine Erklärung wichtig sein, um entscheiden zu können, ob es sich um einen Fehler oder nur um eine ungewöhnliche, dafür aber korrekte, Diagnose handelt. Und auch bei den Zwischenergebnissen fehlen dann die Erklärungen.", con_2.3.1, con_2.1.1
6, kai.weisenberger, "Im Falle einer zweifelhaften Diagnose könnte ein echter Arzt beauftragt werden ebenfalls eine Diagnose zu stellen. Käme er zum selben Ergebnis wäre eine Erklärung der KI entbehrlich.", con_3.1
7, justin.voelkel, "Und was passiert in Fällen, wo die KI eine Fehlentscheidung trifft, diese aber nicht direkt einen zweifelhaften Eindruck vermittelt? Ab wann können sich die Ärzte auf die Ergebnisse verlassen und wer haftet im Falle einer solchen fehlerhaften Diagnose?", con_5, con_3
8, kai.weisenberger, "Arzt treffen ebenfalls Fehlentscheidungen. Eine perfekte Diagnose in 100 % der Fälle ist wohl eher Wunschdenken. Mit der Zeit könnte die KI dazu lernen und so besser als ein Arzt werden. Einer Haftung könnte mit Haftungsfonds begegnet werden, die durch von Versicherern und Herstellern gemeinsam finanziert würden.", con_3.3, con_5.1
9, justin.voelkel, "Das stimmt natürlich. Allerdings wird die KI noch eine Weile brauchen, bis sie auf dem Niveau von Fachärzten ist geschweige denn diese auch übertrifft. Kann denn auch sichergestellt werden, dass die KI nicht fehlerhaft lernt?", pro_1.1, con_4
10, kai.weisenberger, "Wenn eine KI als Medizinprodukt zugelassen wird, lernt sie in der Regel während ihres Einsatzes nicht mehr dazu. Damit würde sie auch keine Fehler lernen.", con_4.1
11, justin.voelkel, "Und inwiefern kann eine KI dann überhaupt dazulernen? Ärzte lernen ja ständig dazu und können im Laufe ihrer Karriere auf ihre Erfahrungen zurückgreifen und somit auch oft neue, seltene Krankheiten richtig diagnostizieren.", unk
12, kai.weisenberger, "Solche neue Krankheiten könnten von Experten in die KI eingepflegt werden. Das Vorgehen wäre wesentlich effizienter als bisher, weil die Einpflegung für ganz Deutschland nur einmalig erfolgen müsste und nicht jeder Arzt sich informieren muss.", pro_2
13, justin.voelkel, "Bei einer solchen Einpflegung können unter Umständen auch unbalancierte Daten verwendet werden, die eine KI zu Vorurteilen neigen lässt. Wie kann man überhaupt sicherstellen, dass die KI keine diskriminierenden Ergebnisse liefert?", con_15
14, kai.weisenberger, "Dem müsste bei der Einpflegung der Daten vorgebeugt werden, etwa mit Hilfe speziell geschulter Experten. Ferner haben auch Ärzte Vorurteile. Eine Maschine ist in der Entscheidungsfindung grundsätzlich neutraler.", con_15.2, con_15.1
15, justin.voelkel, "Bleibt allerdings noch das Problem, dass die medizinischen Daten in Deutschland/Europa in großen Mengen gesammelt und allgemein digitalisiert werden müssten. Kommen da nicht viel zu viele datenschutzrechtliche und ethische Probleme auf, die eine potentielle KI, die ein Niveau eines Facharztes erreichen/übertreffen soll, ausbremsen?", con_11, pro_2.1
16, kai.weisenberger, "Der Datenschutz müsste selbstverständlich umfassend gewährleistet werden. Allerdings könnte diesem Problem mittels Pseudonymisierung leicht entgegnet werden: Ein Rückschluss auf die Person selbst wäre dann nur noch schwer möglich. Denn die KI muss die Identität des Patienten nicht kennen.", pro_2.1.1
17, justin.voelkel, "Guter Punkt mit der Anonymisierung/Pseudonymisierung. Wenn jetzt aber die Kliniken allein auf Grund des Einsatzes einer KI große Dateimengen besitzen, machen sich diese nicht für Hacker-Angriffe umso interessanter?", con_7
18, kai.weisenberger, "Das ist ein berechtigter Einwand. Allerdings sind Kliniken auch schon heute Ziel zahlreicher Hackerangriffe. Weiterhin müssten dahingehend aber Vorkehrungen getroffen werden.", con_7.2
