id, author, utterance, arg_label, arg_label, arg_label
17:55, 18:36
0, christian.hauptmann.stud-mail, "Ich denke, dass KI Entscheidungen treffen sollte, da diese deutlich schneller arbeiten wird, als ein Arzt und diese Zeitersparnis anderen medizinischen Bereichen zugute kommen wird.", pro_12
1, antonia.zierz.stud-mail, "Schnelligkeit sollte nicht das einzige Kriterium sein. Gleichzeitig leidet durch den Einsatz von KI das persönliche Arzt-Patienten-Verhältnis.", con_12
2, christian.hauptmann.stud-mail, "Ki ist nicht nur schneller, sondern auch billiger. Die eingesparte Zeit und Kosten können an anderer Stelle in die Betreuung der Patienten investiert werden.", pro_5, con_12.1
3, antonia.zierz.stud-mail, "Im Gesundheitswesen herrscht jedoch generell ein Personalmangel und sehr knappe finanzielle Ressourcen. Wahrscheinlicher ist daher eine ersatzlose Einsparung.", con_12.1.1
4, christian.hauptmann.stud-mail, "Führen diese knappen Ressourcen aber nicht auch zu einem hohen Stresslevel der Ärzte? KI kann keinen Stress empfinden und liefert im Gegensatz zu einem Arzt konstant und reproduzierbare Ergebnisse.", pro_4
5, antonia.zierz.stud-mail, "Eine Innovation bedeutet aber nicht zwangsläufig weniger Stress für Ärzte. In Krankenhäusern z.B., in welchen aufwändige elektronische Dokumentationssysteme eingerichtet wurden, die bessere Nachvollziehbarkeit zum Ziel haben, muss vom Personal auch viel mehr Zeit darauf verwendet werden, alles ordnungsgemäß einzutragen. Auch durch KI in der Bildgebung ist kein niedrigeres Stresslevel garantiert. So fehlt weiterbehandelnden Ärzten vielleicht die Entscheidungsgrundlage der KI und sie sind überfordert, wodurch sich der Befund begründet.", pro_4.2
6, christian.hauptmann.stud-mail, "In modernen Krankenhäuser werden aber zunehmend Systeme eingesetzt, die miteinander verknüpft werden. Im Endeffekt würde die KI also ihre Diagnose in die elektronische Patientenakte eintragen, aus welcher ein Arzt diese abrufen könnte.", pro_4.2.1
7, antonia.zierz.stud-mail, "Das ändert aber nichts daran, dass die Entscheidungsfindung der KI nur sehr begrenzt nachvollziehbar ist.", con_2
8, christian.hauptmann.stud-mail, "Bei vielen Diagnosen werden aber von Radiologen auch keine Begründungen mitgeliefert. Der behandelnde Arzt vertraut der Diagnose.", con_2.5
9, antonia.zierz.stud-mail, "Das trifft eher auf sehr alltägliche und simple Diagnosen zu, nicht auf komplexere. Gerade bei diesen Komplexeren ist aber oft die weitere Vorgehensweise unklarer bzw. es bestehen zahlreiche Behandlungsmöglichkeiten im Vergleich zu den alltäglichen "Volkskrankheiten". Genau hier wäre also größtmögliche Nachvollziehbarkeit geboten.", con_2.3.1
10, christian.hauptmann.stud-mail, "Die KI würde ja auch nicht über die Behandlung entscheiden, sondern eine Diagnose stellen. Diese beruht auf dem Training einer sehr großen Zahl von Fallbesispielen und wird mit einer Wahrscheinlichkeit versehen, sodass der behandelnde Arzt zumindest weiß, wie sicher sich die KI ist.", exp_2.1, pro_15
11, antonia.zierz.stud-mail, "Bei dem Versehen mit Fallbeispielen können jedoch willkürliche Fehler passieren, die verheerende Folgen nach sich ziehen können.", con_9, con_14
12, christian.hauptmann.stud-mail, "Auch Ärzte machen verheerende Fehler.", con_3.3
13, antonia.zierz.stud-mail, "Fehler von Ärzten sind aber Einzelfälle, die abgetrennt von anderem in der konkreten Situation entstehen. Eine KI wird im Zweifel an vielen Standorten weltweit eingesetzt. Durch das gleiche Raster könnte es zu einer Vielzahl an Behandlungsfehlern kommen, ehe die Fehler entdeckt wurden.", con_14
14, christian.hauptmann.stud-mail, "Hier ist die einzige Lösung, diesem so gut es geht vorzubeugen, durch Training auf einer großen Menge an Daten und sehr ausführlichen klinischen Studien. Fehler müssten zudem durch ein System schnellsmöglich gemeldet werden.", con_14.1
