,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,Z.P1,Z,PRO,,Z.P2,KI-erreichbarer,"Wartezeit, Erreichbarkeit, erreichbarer, Verfügbarkeit, Notbesetzung, ([Land, Dorf, ländlich]), (ländlich, [Raum, Gebiet, Region]), ([Wartezeit, Zeit], [verringern, geringer, niedriger, weniger]; 5), ([besser, verbessern, höher, mehr], [Erreichbarkeit, erreichbar, Verfügbarkeit, verfügbar]; 5), ([Erreichbarkeit, erreichbar, Versorgung, versorgen, Zugänglichkeit, Zugang, zugänglich, Verfügbarkeit, verfügbar], [Uhr, immer, 24/7, Nacht, Wochenende, Sonntag, Notbesetzung]; 5),  ([Mangel, wenig, Knappheit], [Ärzte, Fachärzte, Medizin*]; 3)",die medKI /verbessert die medizinische Versorgung.,Die medKI verbessert die medizinische Versorgung.,"Eine medKI wäre rund um die Uhr erreichbar; in der Nacht oder am Wochenende, wenn auch nur in einer Notbesetzung mit medizinischem Hilfspersonal. Das ließe sich ohne medKI sonst nur in großen Kliniken sicherstellen und wäre auf dem Land nicht möglich.",Z.GP4,5,0
1,Z.P1-1,Z,CON,Z.P1,,Zusätzlicher Bedarf an medizinischen Assistenten,"([Mangel, Bedarf, fehl*], [Pfleg*, Assistent*, Helfer*]; 3), ([weiteres, zusätzlich, neues], [Fachpersonal, Personal, Pfleg*, Assistent*, Helfer*]; 3)",die medKI /benötigt zusätzliches medizinisches Fachpersonal.,medKI benötigt zusätzliches medizinisches Fachpersonal.,"Eine medKI kann zwar den Ärztemangel lindern, aber dafür wird mehr medizinisches Fachpersonal (u.a.  Pflegeberufe, Praxishelfer:innen, medizinische Fachassistent:innen usw.) einschl. neuer, ähnlicher Berufsbilder benötigt. ",Z.GP4,5,0
2,Z.P1-1-1,Z,PRO,Z.P1-1,,Aufwertung des Berufsbildes Medizinisches Fachpersonal,"([Fachpersonal, Personal], [Berufsbild, Beruf], [Aufwertung, attraktiver, aufwerten]; 5)",das Berufsbild des medizinischen Fachpersonals /wird aufgewertet.,Das Berufsbild des Medizinisches Fachpersonals wird aufgewertet.,"Das Berufsbild des medizinischen Fachpersonal wird durch die medKI aufgewertet, da es weniger von Ärzt*innen abhängig ist und sich vollständig auf die Patient*innen konzentrieren kann, und daher voraussichtlich häufiger gewählt.  ",Z.GP4,-1,
3,Z.P1-2,Z,CON,Z.P1,,Untersuchungszentren teuer,"([Untersuchungszentren, Erreichbarkeit, erreichbar], [teuer, kosten, Kosten]; 4), ([Kosten, teuer], [mehr, zusätzliches], [Personal, Fachpersonal]; 3) ",eine rund um die Uhr erreichbare medKI /wäre sehr teuer.,Eine rund um die Uhr erreichbare medKI wäre sehr teuer.,"Eine rund um die Uhr erreichbare medKI wäre allerdings sehr teuer, da in dem Untersuchungszentrum viel medizinisches Personal erforderlich ist.",Z.GP4,1,
4,Z.P1-2-1,Z,PRO,Z.P1-2,Z.P5,Untersuchungszentren nicht teurer,"([Untersuchungszentren, Erreichbarkeit, erreichbar], [teuer, kosten, Kosten]; 4), ([Kosten, teuer], [mehr, zusätzliches], [Personal, Fachpersonal]; 3) ",kleine Untersuchungszentren /sind nicht teuer.,Kleine Untersuchungszentren sind nicht teuer,"Es wird große und kleine Untersuchungszentren geben, die bei gleicher Größe günstiger als entsprechende Arztpraxen sind.",Z.GP4,-1,
5,Z.P4,Z,PRO,,,KI-skalierbar,"([Ärztemangel, *ärztemangel]; 5), (medizinische Nachfrage; 2), ([Skalierbarkeit, skalierbar]; 2), ([Land, Dorf, ländlich]), (ländlich, [Raum, Gebiet, Region]), ([Mangel, wenig, Knappheit], [Ärzte, Fachärzte, Medizin*]; 3), ([alternd, Alterung, altern], Gesellschaft; 3), ([steigen, steigend, höher, befriedigen], [Bedarf, Bedürfnisse, Anspruch, Nachfrage]; 5), ([steigen, steigend, höher, befriedigen] [medizinisch] [Bedarf, Bedürfnisse, Anspruch, Nachfrage]; 7)",die erhöhte medizinische Nachfrage einer alternden Gesellschaft /kann am besten durch medKI befriedigt werden.,die erhöhte medizinische Nachfrage einer alternden Gesellschaft kann am besten durch medKI befriedigt werden.,"Ärztliche Leistungen werden immer mehr nachgefragt, sowohl wegen höheren Ansprüchen als auch der Alterung der Gesellschaft. Die medKIs sind notwendig, um den steigenden Bedarf qualitativ hochwertig zu befriedigen, insbesondere auch auf dem Land.",Z.GP4,4,0
6,Z.P4-1,Z,CON,Z.P4,Z.P5-1,Ärztemangel finanziell lösen,"([Land, Dorf, ländlich]; 3), (ländlich, [Gebiet, Raum, Region]; 4), ([andere, anderweitige, anders], [Investition, investieren]; 4), ([System, Gesundheitswesen, Gesundheitssystem], [stärken, verbessern]; 4), ([bestehend, bisherig, aktuelles], [System, Gesundheitswesen, Gesundheitssystem], [stärken, verbessern]; 9)",man /sollte vorrangig das bisherige Gesundheitssystem finanziell stärken.,man sollte vorrangig das bisherige Gesundheitssystem finanziell stärken.,"Der Ärztemangel und die teils schlechten Arbeitsbedingungen sind ein Problem des unterfinanzierten Gesundheitssystems. Dieses muss zuerst verbessert werden, medKIs allein können diese Probleme nicht beheben.",Z.GP4,-1,
7,Z.P2,Z,PRO,,Z.P1,KI-standardisiert,"([abhängig, Abhängigkeit, gebunden], [Fähigkeit, Tagesform]; 5), ([ermüden, Ermüdung, Ermüd*, müde, erschöpfen, erschöpft, Erschöpfung, Überlastung, überlasten, überlastet], 4), ([Tagesform, standardisiert, reproduzierbar, Reproduzierbarkeit, Standardisierung]; 3), ([gleichbleibend, gleich, identisch, selbe, dieselbe], [Leistung, Fähigkeit, Leistungsfähigkeit, leistungsfähig, Performanz, Performance, perform*, Ergebnis]; 5), ([KI, medKI, Intelligenz, AI], negex, [ermüden, Ermüdung, müde, erschöpfen, Erschöpfung, überlasten, überlastet, Ermüd*]; 7)",die medKI /ist standardisiert und reproduzierbar.,die medKI ist standardisiert und reproduzierbar.,Die Anwendung einer medKI ist standardisiert und reproduzierbar. Sie hängt nicht von den unterschiedlichen Fähigkeiten oder der Tagesform der behandelnden Ärzt:innen ab. Stattdessen liefert sie gleichbleibend gute Ergebnisse und ermüdet im Gegensatz zum menschlichen Gehirn nicht.,Z.GP1,5,0
8,Z.P3,Z,PRO,,,KI-aktueller,"Fortbildung, Weiterbildung, weiterbilden, bilden, Wissensstand, ([aktuell, neu, neueste, aktuellste, Aktualität], [Wissensstand, Wissen, Stand, Empfehlung, Diagnostik, diagnostizieren, Therapie, therapieren]; 5), ([Arzt, mühsam, Aufwand, aufwendig], [Weiterbildung, Forbildung, fortbilden, weiterbilden, bilden, lernen, weiterlernen, faul]; 5)",die medKI /ist immer auf dem aktuellen Stand medizinischen Wissens.,die medKI ist immer auf dem aktuellen Stand medizinischen Wissens.,"Patient:innen haben ein Recht auf die neuesten evidenzbasierten Empfehlungen hinsichtlich ihrer Diagnostik und Therapie, was durch eine medKI gewährleistet ist. Das ist bei Ärzt:innen, die sich neben ihrem stressigen Job mühsam weiterbilden müssen, nicht immer gewährleistet.",Z.GP1,4,0
9,Z.P3-1,Z,CON,Z.P3,,KI-Entwicklung fehleranfällig,"Überwachung, Kompetenzzentrum, Kompetenzzentren, ([Weiterentwicklung, weiterentwickeln, Entwicklung, Überwachung, überwachen], [fehleranfällig, Fehler, anfällig, abhängig]; 7), ([Mensch, Angestellte], [steuern, gesteuert, entwickeln, weiterentwickeln, nötig, notwendig, gebraucht, brauchen]; 3), ([Verlagerung, verlagern, verschieben], [Problem, Problematik]; 2)",die Weiterentwicklung der medKI /ist fehleranfällig.,Die Weiterentwicklung der medKI ist fehleranfällig.,"Die Weiterentwicklung und Überwachung der medKI in Kompetenzzentren verlagert das Problem allerdings nur, da ein durch Menschen gesteuerter Prozess notwendig bleibt, was zu Fehlern führen kann.",Z.GP1,-1,
