,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,Z.P1,Z,PRO,,,KI-objektiv,"([KI, jurKI, Intelligenz, AI], negex, [subjektiv, Subjektivität], [Mitgefühl, Symathie, einfühlend]), [Gerechtigkeit, gerecht, gerechter], [objektiv, objektiver]",die jurKI /ist objektiv.,keine subjektiven Urteile; mehr Gerechtigkeit; Objektivität der KI,Durch den Einsatz der jurKI kann der Faktor Subjektivität bei Gerichtsurteilen ausgeräumt werden. Eine jurKI lässt sich nicht etwa durch Mitgefühl von den objektiven Fakten ablenken. Dies führt zu mehr Gerechtigkeit.,Z.GP1,5,0
1,Z.P1-1,Z,CON,Z.P1,Z.K2,menschliche Subjektivität notwendig,"([KI, jurKI, Intelligenz, AI], negex, [Werturuteil, urteilskraft], [emphatisch, Empathie, einfühlungsvermögen, einfühlend], [subjektiv, Subjektivität]), ([Mensch, menschlicher Richter*, Richter*] [Werturuteil, urteilskraft], [emphatisch, Empathie, einfühlungsvermögen, einfühlend], [subjektiv, Subjektivität]), Anwendung, Interpretation, Recht, Gesetz, Urteilsfindung",die menschliche Subjektivtät /ist für eine Entscheidung notwendig.,Werturteil erforderlich bei Entscheidungen; menschliche Subjektivität notwendig,"Um Gesetze zu interpretieren und anzuwenden bedarf es stets einer menschlichen Bewertung, ein sog. Werturteil. Das kann nur duch empathische Richter:innen sichergestellt werden, ohne zu riskieren, dass die menschlichen Rechte und die Würde verletzt bzw. beeinträchtigt werden.",Z.GP1,3,
2,Z.P1-2,Z,CON,Z.P1,,verschiedene Auslegungen unterschiedlicher Richter:innen ,"([Mensch, menschlicher Richter*, Richt*] [Untereschied, unterschiedlich, verschieden]), ([Urteil, Ergebnis], [Untereschied, unterschiedlich, verschieden]), ([Abwägung, Interpretation, abwägen, interpretieren], [Untereschied, unterschiedlich, verschieden]) , funktionierend, Rechtssystem, System, Rechtsprechung","unterschiedliche Richter:innen /führen zu unterschiedlichen Urteilen, aufgrund verschiedener richtiger Abwägungen.",unterschiedliche Richter:innen; unterschiedliche Urteile,"Die Richter:innen sind immer unterschiedliche Personen und entscheiden dementsprechend unterschiedlich. Dies ist für ein funktionierendes Rechtssystem von großer Bedeutung, da unterschiedliche Urteile auch das Ergebnis verschiedener an sich richtiger Abwägungen sein können.",Z.GP1,3,0
3,Z.P1-1-1,Z,PRO,Z.P1-1,,Entscheidung auf Gurndlage des Gesetzes,"([Urteil, Entschiedung, entschieden], [Gesetz, Regeln, Regelwerk]), ([emotionen, Empfindunen, Gefühl, Emotion, empfinden], negex), Enstcheidung, Urteil, Richter*, KI",Richter:innen /entscheiden auf Grundlage des Gesetzes.,Entscheidung rein auf Grundlage des Gesetzes,"Der Einwand, die jurKI hätte keine eigenen Emotionen und Empfindungen ist insoweit hinfällig, als dass auch Richter:innen nicht nach ihren eigenen Gefühlen, sondern auf der Grundlage des Gesetzes entscheiden.",Z.GP1,,
4,Z.P3,Z,PRO,,,KI ohne Druck,"([KI, jurKI, Intelligenz, AI], negex, [Druck, Stress, müde, Müdigkeit]), ([Mensch, menschlicher Richter*, Richt*], [müde, Müdigkeit, Druck, Stress, überlastet, Überlastung]), Stabil*ität, [Entscheidung, Ergebnis, Urteil], nichtdiskriminierend, ([KI, jurKI, Intelligenz, AI], negex, [Diskriminierung, diskriminierend])",die KI /steht nicht unter Druck.,Kein Druck,"Richter:innen stehen intern und extern unter enormem Druck. Die jurKI verspürt keinen Druck und erzielt gleichbleibend gute Ergebnisse. Stabile, nichtdiskriminierende Schlussfolgerungen fördern ein einheitliches Entscheidungsergebnis sowie Stabilität und Autorität des Rechts.",Z.GP1,3,0
5,Z.P3-1,Z,CON,Z.P3,,Strukturelle Fehler der KI,"([Ergebniss, Urteil], [gleich, einheitlich, dieselben], [Fehler, falsch, strukureller Fehler, fehlerhaft]), Fehler, Gefahr, strukturel, [weitreichend, weitreichender, weiter]",Bei der KI /sind strukturelle Fehler möglich.,strukturelle Fehler,"Da die JurKI bei gleichem Input immer das gleiche Ergebnis liefern würde, würden Fehler an vielen Stellen gleichzeitig passieren und wären so deutliche weitreichender, als die eines Menschen. ",Z.GP1,3,0
6,Z.P3-1-1,Z,PRO,Z.P3-1,,KI ist lernendes System,"([KI, jurKI, Intelligenz, AI], lernendes System, lernt, Sytsem),  Strukturfehler, Fehrler, korigieren, Korrektur, überlegen, besser",die KI /ist ein lernendes System.,KI ist lernendes System,"Fehler lassen sich natürlich nicht vermeiden. Eine jurKI ist aber ein lernendes System und wird auf Dauer Strukturfehler korrigieren. Darin ist sie Menschen überlegen, da sie aus sehr vielen Fällen lernen kann und immer seltener in der Berufung korrigiert werden müsste.",Z.GP1,,
7,Z.P3-1-2,Z,PRO,Z.P3-1,,Fehler der Richter haben gleiche Tragweite,"([KI, jurKI, Intelligenz, AI], unvermeidbar, [Fehler, Problem]), ([Mensch, menschlicher Richter*, Richt*], unvermeidbar, [Fehler, Problem]), ([gleiche, dieselbe, selbe], [Reichweite, Auswirkung, Tragweite]), Urteil, Entscheidung, KI, Richter*",ein Fehler der KI /hat die gleiche Tragweite wie Fehler von Richter:innen.,Gleiche Tragweite wie Urteil menschlicher Richter:in,Ein fehlerhaftes Urteil durch die jurKI hat die gleiche Tragweite und Auswirkung wie ein fehlerhaftes Urteil durch eine:n menschliche:n Richter:in. Daher besteht kein Grund hier von weitreichenderen Schäden bei der jurKI als Richter:in auszugehen.,Z.GP1,,
8,Z.K16,Z,CON,Z.P2,,Verlust von Arbeitsplätzen,,Es /gehen Arbeitsplätze verloren.,Verlust von Arbeitsplätzen,Durch den Einsatz von jurKI gehen Arbeitsplätze verloren.,Z.GK5,0,
9,Z.P2,Z,PRO,,,Überlastung Justiz,"Überlastung, Justiz, Stress, Zeitmangel, ([KI, jurKI, Intelligenz, AI], negex, [Druck, Stress, müde, Müdigkeit]) ",die Justiz /ist überlastet.,Überlastung Justiz,"Massenverfahren nehmen zu und das Justiz-System ist überlastet. Richter:innen haben meist nicht genügend Zeit, die Fälle innerhalb ihrer regulären Arbeitszeit zu erledigen. Eine jurKI arbeitet losgelöst von einer Arbeitszeit 24/7 und beschleunigt das Verfahren. Das ist im Interesse aller Beteiligten.",Z.GP2,3,0
